id,product_id,organization_id,source_type,title,description,extracted_content,raw_content,file_url,file_type,file_size,source_url,last_crawled_at,video_id,video_duration,transcript,question,answer,data_category,data_json,processing_status,processing_error,processed_at,is_active,is_synced,created_at,updated_at,created_by
3acd8499-ef46-46f7-808a-8d7947d5d2d7,11111111-aaaa-4aaa-aaaa-000000000001,1955af5f-a628-4391-89ef-e56c996b23e9,faq,¿Cuál es el precio del Citroën C3 0km?,,,,,,,https://www.citroen.com.py/modelos/c3.html,,,,,,,,,completed,,,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 15:52:39.070381+00,
625bf1d1-8526-406f-ba9f-e2b4bc94f1c6,11111111-aaaa-4aaa-aaaa-000000000001,1955af5f-a628-4391-89ef-e56c996b23e9,faq,Moneda Citroën 0km vs Usados,,,,,,,,,,,,¿Los precios están en guaraníes o en dólares?,"Los Citroën 0km se cotizan en guaraníes (PYG) y el precio final depende de la versión y promoción vigente — no se publican en la web. Los usados Citroën certificados se publican en dólares (USD) en automaqusados.com.py. Cuando cotizamos, lo hacemos siempre con cotización del día y financiación en guaraníes.",,,completed,,,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 15:52:39.070381+00,
bef0de0d-30bf-4088-8967-f2b81d83a615,11111111-aaaa-4aaa-aaaa-000000000001,1955af5f-a628-4391-89ef-e56c996b23e9,faq,Garantía usados Citroën,,,,,,,,,,,,¿Qué garantía tienen los usados certificados?,Todos los usados de Automaq pasan por una revisión técnica de 150 puntos y tienen garantía mecánica de 6 meses por escrito.,,,completed,,,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 15:52:39.070381+00,
a4590cef-b931-4243-8ed3-8bb3f410bbbe,22222222-bbbb-4bbb-bbbb-000000000002,1955af5f-a628-4391-89ef-e56c996b23e9,faq,Moneda Peugeot 0km vs Usados,,,,,,,,,,,,¿Los precios están en guaraníes o en dólares?,Los Peugeot 0km se cotizan en guaraníes (PYG) y el precio final depende de la versión y promoción vigente — no se publican en la web. Los usados Peugeot certificados se publican en dólares (USD) en automaqusados.com.py. Cotizamos siempre con cotización del día y financiación en guaraníes.,,,completed,,,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 15:52:39.070381+00,
84111ab4-0b2d-461b-980c-1b9c2c9554fd,22222222-bbbb-4bbb-bbbb-000000000002,1955af5f-a628-4391-89ef-e56c996b23e9,faq,Financiación cuotas,,,,,,,,,,,,¿Hay financiación en cuotas?,"Sí, financiamos hasta 60 cuotas en guaraníes con bancos aliados. Para los usados, también tenemos planes con cuota fija en USD (ej: Peugeot 2008 Allure desde US$ 405/mes).",,,completed,,,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 15:52:39.070381+00,
05ff3b04-a92b-4df8-bff4-5e4ae3e1f1a2,22222222-bbbb-4bbb-bbbb-000000000002,1955af5f-a628-4391-89ef-e56c996b23e9,faq,Usado como parte de pago,,,,,,,,,,,,¿Reciben mi auto usado como parte de pago?,"Sí, hacemos toma de usado de cualquier marca. Coordinamos una tasación gratuita en nuestro showroom o por fotos vía WhatsApp.",,,completed,,,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 15:52:39.070381+00,
b8d65daf-9f75-4cd6-9d99-66592c64530b,11111111-aaaa-4aaa-aaaa-000000000001,1955af5f-a628-4391-89ef-e56c996b23e9,website,Automaq — Soluciones Automóviles,,"AUTOMAQ - Soluciones. Automóviles: Citroën y Peugeot, nuevos y usados. AUTOMAQ USADOS: usados garantizados. Contacto: Yegros 811 c/ Fulgencio R. Moreno, Asunción - Paraguay. Email: contacto@automaq.com.py. Tel: +595 21 379 9000.",,,,,https://automaq.com.py/soluciones,2026-06-16 16:05:24.860863+00,,,,,,,,completed,,2026-06-16 16:05:24.860863+00,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 16:05:24.860863+00,
114ff3d8-7bc3-4900-9007-2539ea5947cb,11111111-aaaa-4aaa-aaaa-000000000001,1955af5f-a628-4391-89ef-e56c996b23e9,website,Automaq Usados — Stock Citroën,,"Automóviles Hatchback Sedan SUV Pickup Utilitarios Maquinaria Maquinaria Vial Maquinaria Agrícola Contacto Seleccionar página Automóviles Hatchback Sedan SUV PICKUP Utilitarios Maquinaria Maquinaria Vial Maquinaria Agrícola Descubrí nuestras ofertas destacadas en automóviles Peugeot 2008 ALLURE 1.0T CVT - AÑO 2026 USD 22.990 550 KM Cuotas Desde: US$ 405,00. Jeep COMPASS LONGITUDE - AÑO 2022 USD 19.490 40900 KM Cuotas Desde: US$ 343,00. Peugeot 5008 ACTIVE 2.0 HDI 150 EAT6 - AÑO 2021 USD 21.990 76500 KM Cuotas Desde: US$ 387,00. Citroën C4 CACTUS 1.6 BVA6 THP FLEX SHINE - AÑO 2024 USD 15.990 43000 KM Cuotas Desde: US$ 282,00. Peugeot 2008 ALLURE 1.2 PURETECH 130 AT6 - AÑO 2024 USD 19.990 12000 KM Cuotas Desde: US$ 352,00. Audi Q3 1.4 TFSI - AÑO 2016 USD 15.990 85000 KM Cuotas Desde: US$ 282,00. Showroom Automóviles Av. Mcal. López 2112 c/ Chaco Boreal, Asunción. Horario: Lunes a Viernes 07:30 a 18:00 (continuado), Sábados 07:30 a 12:00. Contacto Automóviles 021 379 9600.",,,,,https://automaqusados.com.py/,2026-06-16 16:05:24.860863+00,,,,,,,,completed,,2026-06-16 16:05:24.860863+00,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 16:05:24.860863+00,
00d0cdc7-b7af-4d12-bfb0-948f44ed3706,22222222-bbbb-4bbb-bbbb-000000000002,1955af5f-a628-4391-89ef-e56c996b23e9,website,Automaq — Soluciones Automóviles,,"AUTOMAQ - Soluciones. Automóviles: Movilidad que se adapta a tu estilo de vida (marcas Citroën y Peugeot, nuevos y usados). AUTOMAQ USADOS: Equipamientos garantizados. Contacto: Yegros 811 c/ Fulgencio R. Moreno, Asunción - Paraguay. Email: contacto@automaq.com.py. Tel: +595 21 379 9000.",,,,,https://automaq.com.py/soluciones,2026-06-16 16:05:24.860863+00,,,,,,,,completed,,2026-06-16 16:05:24.860863+00,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 16:05:24.860863+00,
9e9d39fd-4acd-418d-957d-61439bfd2f15,11111111-aaaa-4aaa-aaaa-000000000001,1955af5f-a628-4391-89ef-e56c996b23e9,website,Citroën Paraguay — Sitio oficial,,,,,,,https://www.citroen.com.py/,,,,,,,,,failed,Sitio renderizado con JavaScript — el extractor no pudo leer el contenido. Reemplazar por catálogo manual o usar Firecrawl.,2026-06-16 16:05:24.860863+00,t,f,2026-06-16 15:52:39.070381+00,2026-06-16 16:05:24.860863+00,
